vignette,cycle,pc,pc_slots,pc_covered,conforms,ttl_file
vignette_058,0,0.75,4,3,False,cycle_00.ttl
vignette_058,1,1.0,4,4,True,cycle_01.ttl
vignette_059,0,1.0,20,20,True,cycle_00.ttl
vignette_06,0,0.8,5,4,False,cycle_00.ttl
vignette_06,1,1.0,5,5,True,cycle_01.ttl
vignette_060,0,0.9333333333333333,15,14,False,cycle_00.ttl
vignette_060,1,1.0,15,15,True,cycle_01.ttl
vignette_061,0,0.9642857142857143,28,27,False,cycle_00.ttl
vignette_061,1,1.0,28,28,True,cycle_01.ttl
vignette_062,0,0.9473684210526315,19,18,False,cycle_00.ttl
vignette_062,1,1.0,19,19,True,cycle_01.ttl
vignette_063,0,0.9411764705882353,17,16,False,cycle_00.ttl
vignette_063,1,1.0,17,17,True,cycle_01.ttl
vignette_064,0,0.9777777777777777,45,44,False,cycle_00.ttl
vignette_064,1,1.0,45,45,True,cycle_01.ttl
vignette_065,0,0.975,40,39,False,cycle_00.ttl
vignette_065,1,1.0,40,40,True,cycle_01.ttl
vignette_066,0,0.9444444444444444,18,17,False,cycle_00.ttl
vignette_066,1,1.0,18,18,True,cycle_01.ttl
vignette_067,0,0.9444444444444444,18,17,False,cycle_00.ttl
vignette_067,1,1.0,18,18,True,cycle_01.ttl
vignette_068,0,0.9444444444444444,18,17,False,cycle_00.ttl
vignette_068,1,1.0,18,18,True,cycle_01.ttl
vignette_069,0,0.9444444444444444,18,17,False,cycle_00.ttl
vignette_069,1,1.0,18,18,True,cycle_01.ttl
vignette_07,0,0.8,5,4,False,cycle_00.ttl
vignette_07,1,1.0,6,6,True,cycle_01.ttl
vignette_070,0,0.9545454545454546,22,21,False,cycle_00.ttl
vignette_070,1,1.0,22,22,True,cycle_01.ttl
vignette_071,0,0.9545454545454546,22,21,False,cycle_00.ttl
vignette_071,1,1.0,22,22,True,cycle_01.ttl
vignette_072,0,0.9736842105263158,38,37,False,cycle_00.ttl
vignette_072,1,1.0,38,38,True,cycle_01.ttl
vignette_073,0,0.9545454545454546,22,21,False,cycle_00.ttl
vignette_073,1,1.0,22,22,True,cycle_01.ttl
vignette_074,0,0.9375,16,15,False,cycle_00.ttl
vignette_074,1,1.0,16,16,True,cycle_01.ttl
vignette_075,0,0.9375,16,15,False,cycle_00.ttl
vignette_075,1,1.0,16,16,True,cycle_01.ttl
vignette_076,0,1.0,16,16,True,cycle_00.ttl
vignette_077,0,0.9375,16,15,False,cycle_00.ttl
vignette_077,1,1.0,16,16,True,cycle_01.ttl
vignette_078,0,0.9375,16,15,False,cycle_00.ttl
vignette_078,1,1.0,16,16,True,cycle_01.ttl
vignette_079,0,0.9736842105263158,38,37,False,cycle_00.ttl
vignette_079,1,1.0,38,38,True,cycle_01.ttl
vignette_08,0,1.0,4,4,True,cycle_00.ttl
vignette_080,0,0.9444444444444444,18,17,False,cycle_00.ttl
vignette_080,1,1.0,18,18,True,cycle_01.ttl
vignette_081,0,0.9473684210526315,19,18,False,cycle_00.ttl
vignette_081,1,1.0,19,19,True,cycle_01.ttl
vignette_082,0,0.75,4,3,False,cycle_00.ttl
vignette_082,1,1.0,4,4,True,cycle_01.ttl
vignette_083,0,0.75,4,3,False,cycle_00.ttl
vignette_083,1,1.0,4,4,True,cycle_01.ttl
vignette_084,0,0.972972972972973,37,36,False,cycle_00.ttl
vignette_084,1,1.0,37,37,True,cycle_01.ttl
vignette_085,0,0.9787234042553191,47,46,False,cycle_00.ttl
